venta_id,producto_id,comprador_id,ubicacion_comprador,fecha_venta,cantidad,metodo_pago,total,tipo_producto,canal,estatus
24,10,9,Toluca,2023-12-11,1,Débito,979.72,Marca IKAL,Web,Entregado
25,2,19,Xicotepec de Juárez,2023-11-13,1,Crédito,1027.04,Marca IKAL,Web,Enviado
26,2,18,Querétaro,2023-11-14,2,Crédito,2054.08,Marca IKAL,Facebook,Entregado
27,10,17,Querétaro,2023-11-15,1,Débito,979.72,Marca IKAL,Facebook,Entregado
28,2,17,Querétaro,2023-11-16,1,Débito,1027.04,Marca IKAL,Instagram,Cancelado
29,1,1,CDMX,2023-11-18,1,Crédito,331.73,Marca IKAL,WhatsApp,Entregado
30,2,2,Toluca,2023-11-19,1,Crédito,1027.04,Marca IKAL,Web,Entregado
31,10,17,Querétaro,2023-11-19,1,Crédito,979.72,Marca IKAL,Web,En preparación
32,10,13,Monterrey,2023-11-19,1,Débito,979.72,Marca IKAL,Web,Entregado
33,1,18,Querétaro,2023-11-20,1,Débito,331.73,Marca IKAL,Web,Entregado
34,2,7,Monterrey,2023-11-22,1,Débito,1027.04,Marca IKAL,Facebook,Entregado
35,2,15,CDMX,2023-11-22,1,Débito,1027.04,Marca IKAL,WhatsApp,Entregado
36,10,16,Pantepec,2023-11-26,1,Débito,979.72,Marca IKAL,Web,Entregado
37,2,6,Puebla,2023-12-01,2,Débito,2054.08,Marca IKAL,Web,Cancelado
38,2,16,Pantepec,2023-01-12,1,Crédito,1027.04,Marca IKAL,Web,Enviado
39,10,17,Querétaro,2023-03-12,1,Débito,979.72,Marca IKAL,WhatsApp,En preparación
40,1,21,Puebla,2023-04-12,1,Crédito,331.73,Marca IKAL,Instagram,Entregado
41,1,10,CDMX,2023-05-12,1,Débito,331.73,Marca IKAL,Facebook,Entregado
42,10,5,Xicotepec de Juárez,2023-08-12,1,Crédito,979.72,Marca IKAL,Web,Entregado
43,1,18,Querétaro,2023-12-12,1,Crédito,331.73,Marca IKAL,Web,Entregado
44,10,19,Xicotepec de Juárez,2023-12-14,2,Crédito,1959.44,Marca IKAL,Web,Entregado
45,12,13,Monterrey,2023-12-14,1,Crédito,1049.0,Marca IKAL,WhatsApp,Entregado
46,1,3,CDMX,2023-12-14,1,Crédito,331.73,Marca IKAL,Instagram,Entregado
47,12,11,Puebla,2023-12-15,1,Débito,1049.0,Marca IKAL,Web,En preparación
48,10,2,Toluca,2023-12-17,1,Crédito,979.72,Marca IKAL,Web,Entregado
49,2,29,CDMX,2023-12-17,1,Débito,1027.04,Marca IKAL,Web,Entregado
50,10,19,Xicotepec de Juárez,2023-12-18,1,Débito,979.72,Marca IKAL,Web,Entregado
51,2,25,Monterrey,2023-12-18,2,Crédito,2054.08,Marca IKAL,Web,Entregado
52,1,31,Guadalajara,2023-12-19,2,Débito,663.46,Marca IKAL,Facebook,Entregado
53,10,11,Puebla,2023-12-19,1,Crédito,979.72,Marca IKAL,Web,Entregado
54,2,21,Puebla,2023-12-19,1,Crédito,1027.04,Marca IKAL,Web,Entregado
55,2,2,Toluca,2023-12-21,2,Crédito,2054.08,Marca IKAL,Web,Entregado
56,1,24,CDMX,2023-12-22,2,Crédito,663.46,Marca IKAL,WhatsApp,En preparación
57,10,20,Toluca,2023-12-22,1,Crédito,979.72,Marca IKAL,Facebook,Entregado
58,2,16,Pantepec,2023-12-22,1,Crédito,1027.04,Marca IKAL,Web,Entregado
59,1,21,Puebla,2023-12-25,1,Débito,331.73,Marca IKAL,Facebook,Entregado
60,1,5,Xicotepec de Juárez,2023-12-26,1,Débito,331.73,Marca IKAL,Facebook,En preparación
61,10,20,Toluca,2023-12-26,1,Crédito,979.72,Marca IKAL,Instagram,Entregado
62,10,31,Guadalajara,2023-12-28,2,Débito,1959.44,Marca IKAL,Instagram,Entregado
63,1,34,Puebla,2023-12-29,2,Crédito,663.46,Marca IKAL,Instagram,Entregado
64,10,30,Querétaro,2023-12-30,1,Débito,979.72,Marca IKAL,Web,Entregado
65,1,5,Xicotepec de Juárez,2023-12-30,1,Crédito,331.73,Marca IKAL,Web,Entregado
66,12,20,Toluca,2023-12-30,1,Débito,1049.0,Marca IKAL,Instagram,Entregado
67,18,15,CDMX,2023-12-31,2,Crédito,300.9,Marca IKAL,Web,Enviado
68,10,28,Guadalajara,2024-01-01,1,Débito,979.72,Marca IKAL,Instagram,Enviado
69,10,32,Guadalajara,2024-01-05,1,Débito,979.72,Marca IKAL,Web,Entregado
70,10,12,Puebla,2024-01-21,1,Crédito,979.72,Marca IKAL,Web,Enviado
71,14,15,CDMX,2024-01-31,1,Débito,681.09,Marca IKAL,Web,Entregado
72,11,27,Querétaro,2024-04-02,1,Débito,596.55,Marca IKAL,Facebook,En preparación
73,9,10,CDMX,2024-05-02,1,Débito,942.9,Marca IKAL,Facebook,En preparación
74,23,43,Puebla,2024-10-02,1,Crédito,1049.71,Marca IKAL,Instagram,Entregado
75,12,18,Querétaro,2024-11-02,1,Débito,1049.0,Marca IKAL,Web,Entregado
76,2,21,Puebla,2024-11-02,2,Débito,2054.08,Marca IKAL,Web,Entregado
77,14,17,Querétaro,2024-12-02,1,Crédito,681.09,Marca IKAL,Web,Entregado
78,146,15,CDMX,2024-02-13,1,Débito,299.41,Artesano,Facebook,Entregado
79,4,36,Monterrey,2024-02-14,1,Crédito,1124.79,Marca IKAL,Instagram,Entregado
80,146,19,Xicotepec de Juárez,2024-02-15,1,Débito,299.41,Artesano,Instagram,Enviado
81,146,26,Guadalajara,2024-02-16,1,Crédito,299.41,Artesano,Facebook,Entregado
82,146,44,Monterrey,2024-02-18,2,Débito,598.82,Artesano,Web,En preparación
83,146,7,Monterrey,2024-02-20,1,Débito,299.41,Artesano,Web,Entregado
84,146,28,Guadalajara,2024-02-20,1,Débito,299.41,Artesano,Instagram,Entregado
85,146,4,Toluca,2024-02-23,2,Débito,598.82,Artesano,Instagram,Entregado
86,4,1,CDMX,2024-02-24,1,Débito,1124.79,Marca IKAL,Instagram,Entregado
87,146,9,Toluca,2024-02-24,2,Débito,598.82,Artesano,Web,Enviado
88,146,54,Xicotepec de Juárez,2024-02-25,1,Débito,299.41,Artesano,Instagram,Entregado
89,146,22,Monterrey,2024-02-27,2,Crédito,598.82,Artesano,Instagram,Entregado
90,146,49,Guadalajara,2024-02-28,1,Crédito,299.41,Artesano,Instagram,Entregado
91,146,43,Puebla,2024-02-29,1,Débito,299.41,Artesano,Instagram,Enviado
92,11,3,CDMX,2024-02-03,2,Crédito,1193.1,Marca IKAL,Web,Entregado
93,146,36,Monterrey,2024-03-03,2,Débito,598.82,Artesano,Facebook,En preparación
94,2,25,Monterrey,2024-03-03,1,Crédito,1027.04,Marca IKAL,Instagram,Entregado
95,146,20,Toluca,2024-04-03,1,Débito,299.41,Artesano,Instagram,Entregado
96,9,60,Querétaro,2024-05-03,1,Crédito,942.9,Marca IKAL,Web,Entregado
97,146,40,CDMX,2024-05-03,1,Crédito,299.41,Artesano,Web,Entregado
98,146,67,Guadalajara,2024-05-03,1,Crédito,299.41,Artesano,Facebook,Entregado
99,146,4,Toluca,2024-06-03,1,Débito,299.41,Artesano,Web,Entregado
100,146,6,Puebla,2024-06-03,1,Crédito,299.41,Artesano,WhatsApp,Entregado
101,146,61,CDMX,2024-07-03,2,Débito,598.82,Artesano,Web,Entregado
102,146,45,Querétaro,2024-08-03,1,Débito,299.41,Artesano,Web,Cancelado
103,146,33,Guadalajara,2024-11-03,1,Débito,299.41,Artesano,Instagram,Entregado
104,11,33,Guadalajara,2024-12-03,1,Crédito,596.55,Marca IKAL,Facebook,Entregado
105,146,18,Querétaro,2024-03-13,1,Crédito,299.41,Artesano,Facebook,Enviado
106,146,47,CDMX,2024-03-13,1,Débito,299.41,Artesano,Web,En preparación
107,146,26,Guadalajara,2024-03-13,2,Débito,598.82,Artesano,Instagram,Entregado
108,146,66,Guadalajara,2024-03-15,1,Débito,299.41,Artesano,Facebook,Enviado
109,146,28,Guadalajara,2024-03-15,1,Crédito,299.41,Artesano,Web,Entregado
110,146,9,Toluca,2024-03-16,1,Débito,299.41,Artesano,Facebook,Entregado
111,146,12,Puebla,2024-03-17,1,Débito,299.41,Artesano,Instagram,Entregado
112,146,41,Monterrey,2024-03-18,1,Débito,299.41,Artesano,WhatsApp,Entregado
113,146,24,CDMX,2024-03-18,1,Crédito,299.41,Artesano,Web,Entregado
114,146,33,Guadalajara,2024-03-18,1,Débito,299.41,Artesano,Facebook,En preparación
115,146,28,Guadalajara,2024-03-19,1,Crédito,299.41,Artesano,Web,Entregado
116,146,31,Guadalajara,2024-03-20,1,Crédito,299.41,Artesano,Web,Entregado
117,146,66,Guadalajara,2024-03-21,1,Crédito,299.41,Artesano,Web,Entregado
118,18,28,Guadalajara,2024-03-22,1,Débito,150.45,Marca IKAL,Instagram,Entregado
119,14,18,Querétaro,2024-03-23,1,Débito,681.09,Marca IKAL,Web,Entregado
120,11,51,Guadalajara,2024-03-23,1,Crédito,596.55,Marca IKAL,Instagram,Entregado
121,4,71,Puebla,2024-03-23,1,Crédito,1124.79,Marca IKAL,Facebook,Entregado
122,146,17,Querétaro,2024-03-24,1,Crédito,299.41,Artesano,Instagram,Cancelado
123,23,5,Xicotepec de Juárez,2024-03-25,1,Débito,1049.71,Marca IKAL,Web,Entregado
124,146,23,Guadalajara,2024-03-27,1,Crédito,299.41,Artesano,Instagram,Entregado
125,10,70,Puebla,2024-03-27,2,Débito,1959.44,Marca IKAL,Web,Entregado
126,146,59,Pantepec,2024-03-27,1,Crédito,299.41,Artesano,Instagram,Cancelado
127,4,7,Monterrey,2024-03-27,1,Crédito,1124.79,Marca IKAL,Web,Entregado
128,146,53,Guadalajara,2024-03-28,1,Débito,299.41,Artesano,WhatsApp,Entregado
129,146,39,CDMX,2024-03-30,1,Crédito,299.41,Artesano,Web,Entregado
130,15,47,CDMX,2024-03-31,1,Crédito,705.11,Marca IKAL,WhatsApp,Entregado
131,146,53,Guadalajara,2024-03-31,1,Crédito,299.41,Artesano,Web,Entregado
132,146,19,Xicotepec de Juárez,2024-01-04,1,Crédito,299.41,Artesano,Web,Entregado
133,146,1,CDMX,2024-02-04,1,Crédito,299.41,Artesano,Instagram,Entregado
134,146,46,Xicotepec de Juárez,2024-02-04,1,Débito,299.41,Artesano,Instagram,Enviado
135,11,4,Toluca,2024-03-04,1,Crédito,596.55,Marca IKAL,WhatsApp,Entregado
136,146,12,Puebla,2024-04-04,1,Débito,299.41,Artesano,Web,Entregado
137,146,26,Guadalajara,2024-04-04,1,Crédito,299.41,Artesano,Web,Entregado
138,146,29,CDMX,2024-04-04,2,Débito,598.82,Artesano,Web,Entregado
139,9,48,CDMX,2024-05-04,1,Crédito,942.9,Marca IKAL,Instagram,Cancelado
140,15,55,Guadalajara,2024-05-04,1,Débito,705.11,Marca IKAL,Web,Entregado
141,14,47,CDMX,2024-05-04,1,Crédito,681.09,Marca IKAL,Web,Entregado
142,146,81,Xicotepec de Juárez,2024-07-04,2,Débito,598.82,Artesano,Instagram,Entregado
143,146,12,Puebla,2024-08-04,1,Crédito,299.41,Artesano,Facebook,Entregado
144,146,15,CDMX,2024-08-04,1,Crédito,299.41,Artesano,Facebook,En preparación
145,146,87,CDMX,2024-10-04,1,Crédito,299.41,Artesano,Web,Entregado
146,146,23,Guadalajara,2024-11-04,1,Crédito,299.41,Artesano,WhatsApp,Entregado
147,146,25,Monterrey,2024-11-04,1,Débito,299.41,Artesano,Web,Entregado
148,1,71,Puebla,2024-12-04,1,Crédito,331.73,Marca IKAL,Instagram,Entregado
149,146,37,CDMX,2024-04-14,1,Débito,299.41,Artesano,Facebook,Entregado
150,146,2,Toluca,2024-04-14,1,Débito,299.41,Artesano,Web,Entregado
151,146,35,Querétaro,2024-04-15,1,Débito,299.41,Artesano,Instagram,En preparación
152,146,18,Querétaro,2024-04-15,2,Crédito,598.82,Artesano,Facebook,Entregado
153,146,72,CDMX,2024-04-16,1,Crédito,299.41,Artesano,Facebook,En preparación
154,11,59,Pantepec,2024-04-16,1,Débito,596.55,Marca IKAL,Facebook,Cancelado
155,146,90,Xicotepec de Juárez,2024-04-17,1,Débito,299.41,Artesano,Web,Entregado
156,23,33,Guadalajara,2024-04-18,1,Crédito,1049.71,Marca IKAL,Facebook,En preparación
157,146,60,Querétaro,2024-04-18,1,Débito,299.41,Artesano,Facebook,Entregado
158,15,68,Toluca,2024-04-18,1,Crédito,705.11,Marca IKAL,Facebook,Entregado
159,146,38,Monterrey,2024-04-18,1,Crédito,299.41,Artesano,Facebook,Entregado
160,146,76,CDMX,2024-04-19,1,Crédito,299.41,Artesano,Web,Entregado
161,2,68,Toluca,2024-04-19,1,Débito,1027.04,Marca IKAL,Facebook,Entregado
162,18,14,CDMX,2024-04-19,1,Débito,150.45,Marca IKAL,Instagram,Entregado
163,146,79,Monterrey,2024-04-21,1,Débito,299.41,Artesano,Web,Entregado
164,60,20,Toluca,2024-04-22,1,Débito,1057.06,Artesano,Instagram,Entregado
165,60,4,Toluca,2024-04-22,1,Crédito,1057.06,Artesano,Web,Entregado
166,12,12,Puebla,2024-04-22,1,Crédito,1049.0,Marca IKAL,Web,Cancelado
167,146,3,CDMX,2024-04-23,1,Crédito,299.41,Artesano,Instagram,Entregado
168,22,10,CDMX,2024-04-23,1,Crédito,920.64,Marca IKAL,Web,Entregado
169,146,92,Xicotepec de Juárez,2024-04-24,1,Crédito,299.41,Artesano,Web,En preparación
170,10,61,CDMX,2024-04-24,1,Crédito,979.72,Marca IKAL,Instagram,Entregado
171,11,92,Xicotepec de Juárez,2024-04-25,1,Débito,596.55,Marca IKAL,Facebook,Entregado
172,60,52,Monterrey,2024-04-25,2,Crédito,2114.12,Artesano,Web,Cancelado
173,146,54,Xicotepec de Juárez,2024-04-26,1,Crédito,299.41,Artesano,Web,Entregado
174,146,32,Guadalajara,2024-04-26,2,Crédito,598.82,Artesano,Web,Entregado
175,146,25,Monterrey,2024-04-27,1,Crédito,299.41,Artesano,Facebook,Entregado
176,146,76,CDMX,2024-04-28,1,Débito,299.41,Artesano,Instagram,Enviado
177,146,68,Toluca,2024-04-29,1,Crédito,299.41,Artesano,Facebook,Enviado
178,146,28,Guadalajara,2024-04-29,1,Débito,299.41,Artesano,Instagram,Entregado
179,60,68,Toluca,2024-04-30,1,Débito,1057.06,Artesano,Instagram,En preparación
180,60,38,Monterrey,2024-05-01,2,Crédito,2114.12,Artesano,Instagram,Cancelado
181,146,35,Querétaro,2024-01-05,1,Débito,299.41,Artesano,Instagram,Entregado
182,60,46,Xicotepec de Juárez,2024-01-05,1,Crédito,1057.06,Artesano,Facebook,Enviado
183,60,73,Querétaro,2024-01-05,1,Débito,1057.06,Artesano,Instagram,Enviado
184,60,76,CDMX,2024-02-05,1,Crédito,1057.06,Artesano,Facebook,Entregado
185,15,22,Monterrey,2024-02-05,1,Débito,705.11,Marca IKAL,Instagram,Entregado
186,146,15,CDMX,2024-02-05,2,Crédito,598.82,Artesano,Facebook,Enviado
187,146,52,Monterrey,2024-05-03,2,Crédito,598.82,Artesano,Web,Entregado
188,60,26,Guadalajara,2024-03-05,1,Crédito,1057.06,Artesano,WhatsApp,Entregado
189,10,97,CDMX,2024-03-05,2,Crédito,1959.44,Marca IKAL,Web,En preparación
190,146,48,CDMX,2024-04-05,1,Crédito,299.41,Artesano,Web,Entregado
191,10,22,Monterrey,2024-04-05,1,Crédito,979.72,Marca IKAL,Web,Entregado
192,60,91,CDMX,2024-04-05,1,Crédito,1057.06,Artesano,Instagram,Entregado
193,146,71,Puebla,2024-04-05,1,Crédito,299.41,Artesano,Facebook,Entregado
194,146,89,Xicotepec de Juárez,2024-04-05,2,Débito,598.82,Artesano,WhatsApp,Cancelado
195,60,25,Monterrey,2024-04-05,1,Débito,1057.06,Artesano,Instagram,Entregado
196,1,38,Monterrey,2024-04-05,1,Crédito,331.73,Marca IKAL,Web,Entregado
197,60,84,Querétaro,2024-05-05,1,Crédito,1057.06,Artesano,Web,Enviado
198,146,27,Querétaro,2024-05-05,1,Crédito,299.41,Artesano,Web,Entregado
199,10,80,Monterrey,2024-05-05,1,Crédito,979.72,Marca IKAL,Facebook,Entregado
200,14,34,Puebla,2024-06-05,1,Crédito,681.09,Marca IKAL,Web,Entregado
201,60,71,Puebla,2024-06-05,1,Crédito,1057.06,Artesano,Web,Enviado
202,146,7,Monterrey,2024-06-05,1,Débito,299.41,Artesano,Web,Entregado
203,9,69,Monterrey,2024-06-05,1,Débito,942.9,Marca IKAL,Instagram,Enviado
204,14,12,Puebla,2024-07-05,1,Crédito,681.09,Marca IKAL,Web,Entregado
205,60,2,Toluca,2024-07-05,1,Débito,1057.06,Artesano,Instagram,Entregado
206,12,72,CDMX,2024-07-05,1,Crédito,1049.0,Marca IKAL,Instagram,Cancelado
207,14,87,CDMX,2024-07-05,2,Crédito,1362.18,Marca IKAL,Instagram,En preparación
208,4,31,Guadalajara,2024-08-05,1,Crédito,1124.79,Marca IKAL,Facebook,Entregado
209,60,65,CDMX,2024-08-05,1,Débito,1057.06,Artesano,Instagram,Entregado
210,146,36,Monterrey,2024-08-05,1,Crédito,299.41,Artesano,Facebook,Entregado
211,146,12,Puebla,2024-10-05,1,Crédito,299.41,Artesano,Web,Enviado
212,11,10,CDMX,2024-10-05,1,Crédito,596.55,Marca IKAL,Instagram,Enviado
213,60,105,Xicotepec de Juárez,2024-10-05,2,Débito,2114.12,Artesano,Web,Cancelado
214,60,88,Xicotepec de Juárez,2024-11-05,1,Débito,1057.06,Artesano,Web,Entregado
215,4,64,CDMX,2024-11-05,1,Crédito,1124.79,Marca IKAL,Instagram,Entregado
216,60,1,CDMX,2024-11-05,1,Débito,1057.06,Artesano,Web,Entregado
217,60,90,Xicotepec de Juárez,2024-05-12,1,Débito,1057.06,Artesano,Web,Enviado
218,146,86,Xicotepec de Juárez,2024-12-05,1,Débito,299.41,Artesano,Web,Entregado
219,146,11,Puebla,2024-05-14,1,Crédito,299.41,Artesano,Web,Enviado
220,146,31,Guadalajara,2024-05-14,2,Crédito,598.82,Artesano,Facebook,En preparación
221,146,32,Guadalajara,2024-05-14,1,Débito,299.41,Artesano,Facebook,Entregado
222,16,87,CDMX,2024-05-15,1,Crédito,885.45,Marca IKAL,Instagram,Entregado
223,10,96,Monterrey,2024-05-15,2,Crédito,1959.44,Marca IKAL,Web,Entregado
224,60,44,Monterrey,2024-05-15,1,Crédito,1057.06,Artesano,Instagram,En preparación
225,146,76,CDMX,2024-05-15,1,Crédito,299.41,Artesano,Web,Entregado
226,60,86,Xicotepec de Juárez,2024-05-15,2,Débito,2114.12,Artesano,WhatsApp,Entregado
227,60,78,Xicotepec de Juárez,2024-05-15,1,Débito,1057.06,Artesano,Web,Entregado
228,60,9,Toluca,2024-05-16,1,Crédito,1057.06,Artesano,Facebook,Enviado
229,1,79,Monterrey,2024-05-16,1,Débito,331.73,Marca IKAL,Instagram,Entregado
230,60,53,Guadalajara,2024-05-16,2,Débito,2114.12,Artesano,Web,Entregado
231,60,57,Monterrey,2024-05-16,1,Débito,1057.06,Artesano,Instagram,Entregado
232,60,49,Guadalajara,2024-05-17,2,Crédito,2114.12,Artesano,WhatsApp,Entregado
233,146,76,CDMX,2024-05-18,1,Crédito,299.41,Artesano,Facebook,Enviado
234,60,30,Querétaro,2024-05-18,1,Débito,1057.06,Artesano,Facebook,En preparación
235,14,104,Puebla,2024-05-18,1,Crédito,681.09,Marca IKAL,Instagram,Entregado
236,146,36,Monterrey,2024-05-18,1,Débito,299.41,Artesano,Web,Entregado
237,22,57,Monterrey,2024-05-18,2,Débito,1841.28,Marca IKAL,Web,Entregado
238,146,58,Querétaro,2024-05-18,2,Débito,598.82,Artesano,Facebook,Entregado
239,146,38,Monterrey,2024-05-19,1,Débito,299.41,Artesano,WhatsApp,Enviado
240,23,22,Monterrey,2024-05-19,1,Crédito,1049.71,Marca IKAL,Instagram,Entregado
241,60,27,Querétaro,2024-05-19,1,Crédito,1057.06,Artesano,Facebook,Cancelado
242,146,92,Xicotepec de Juárez,2024-05-19,1,Débito,299.41,Artesano,Instagram,En preparación
243,60,89,Xicotepec de Juárez,2024-05-20,1,Débito,1057.06,Artesano,Web,Enviado
244,4,103,Xicotepec de Juárez,2024-05-20,1,Crédito,1124.79,Marca IKAL,Instagram,Entregado
245,60,50,Xicotepec de Juárez,2024-05-20,1,Crédito,1057.06,Artesano,Instagram,Cancelado
246,16,43,Puebla,2024-05-20,1,Débito,885.45,Marca IKAL,Web,Enviado
247,60,79,Monterrey,2024-05-20,1,Débito,1057.06,Artesano,Instagram,Entregado
248,146,89,Xicotepec de Juárez,2024-05-20,1,Débito,299.41,Artesano,Web,Entregado
249,11,111,Puebla,2024-05-21,2,Débito,1193.1,Marca IKAL,Facebook,Entregado
250,9,23,Guadalajara,2024-05-21,1,Débito,942.9,Marca IKAL,WhatsApp,Entregado
251,60,95,Querétaro,2024-05-22,1,Crédito,1057.06,Artesano,WhatsApp,Entregado
252,146,22,Monterrey,2024-05-23,1,Débito,299.41,Artesano,Instagram,Enviado
253,60,57,Monterrey,2024-05-23,1,Débito,1057.06,Artesano,Facebook,Cancelado
254,18,64,CDMX,2024-05-23,1,Crédito,150.45,Marca IKAL,WhatsApp,Enviado
255,146,95,Querétaro,2024-05-23,1,Crédito,299.41,Artesano,Instagram,Entregado
256,146,72,CDMX,2024-05-24,1,Débito,299.41,Artesano,Web,Enviado
257,23,53,Guadalajara,2024-05-24,1,Crédito,1049.71,Marca IKAL,Web,Entregado
258,146,103,Xicotepec de Juárez,2024-05-24,1,Débito,299.41,Artesano,Web,Entregado
259,23,45,Querétaro,2024-05-24,1,Débito,1049.71,Marca IKAL,Web,Entregado
260,60,2,Toluca,2024-05-24,1,Débito,1057.06,Artesano,Facebook,Entregado
261,15,55,Guadalajara,2024-05-25,1,Débito,705.11,Marca IKAL,Facebook,Cancelado
262,146,110,Puebla,2024-05-25,1,Crédito,299.41,Artesano,Instagram,Entregado
263,146,46,Xicotepec de Juárez,2024-05-25,1,Crédito,299.41,Artesano,Web,Entregado
264,60,31,Guadalajara,2024-05-26,2,Crédito,2114.12,Artesano,Facebook,Entregado
265,4,63,Puebla,2024-05-26,1,Débito,1124.79,Marca IKAL,Instagram,Entregado
266,146,105,Xicotepec de Juárez,2024-05-27,1,Crédito,299.41,Artesano,Instagram,En preparación
267,146,66,Guadalajara,2024-05-27,1,Crédito,299.41,Artesano,Web,Entregado
268,11,4,Toluca,2024-05-27,1,Crédito,596.55,Marca IKAL,WhatsApp,Cancelado
269,60,15,CDMX,2024-05-27,2,Crédito,2114.12,Artesano,WhatsApp,Entregado
270,12,16,Pantepec,2024-05-29,1,Débito,1049.0,Marca IKAL,Web,Entregado
271,146,82,Guadalajara,2024-05-29,1,Crédito,299.41,Artesano,Web,Enviado
272,146,31,Guadalajara,2024-05-29,1,Débito,299.41,Artesano,Web,En preparación
273,146,115,Querétaro,2024-05-30,2,Crédito,598.82,Artesano,Facebook,Enviado
274,2,114,Guadalajara,2024-05-30,1,Crédito,1027.04,Marca IKAL,WhatsApp,Entregado
275,19,44,Monterrey,2024-05-30,1,Crédito,938.48,Marca IKAL,Web,Entregado
276,146,81,Xicotepec de Juárez,2024-05-30,1,Débito,299.41,Artesano,Web,Entregado
277,60,83,Xicotepec de Juárez,2024-05-30,1,Crédito,1057.06,Artesano,Web,Entregado
278,22,105,Xicotepec de Juárez,2024-05-31,1,Crédito,920.64,Marca IKAL,Web,En preparación
279,146,44,Monterrey,2024-05-31,1,Crédito,299.41,Artesano,Web,Entregado
280,60,12,Puebla,2024-05-31,1,Débito,1057.06,Artesano,Instagram,Entregado
281,60,20,Toluca,2024-05-31,2,Débito,2114.12,Artesano,Instagram,Entregado
282,146,110,Puebla,2024-05-31,1,Crédito,299.41,Artesano,Instagram,Entregado
283,23,71,Puebla,2024-02-06,1,Débito,1049.71,Marca IKAL,Web,Entregado
284,60,12,Puebla,2024-02-06,1,Crédito,1057.06,Artesano,Web,En preparación
285,146,55,Guadalajara,2024-03-06,1,Crédito,299.41,Artesano,Instagram,En preparación
286,146,64,CDMX,2024-03-06,1,Crédito,299.41,Artesano,Instagram,Enviado
287,146,61,CDMX,2024-06-03,1,Débito,299.41,Artesano,Web,En preparación
288,60,7,Monterrey,2024-04-06,1,Débito,1057.06,Artesano,Facebook,Entregado
289,60,55,Guadalajara,2024-04-06,1,Crédito,1057.06,Artesano,Instagram,En preparación
290,13,92,Xicotepec de Juárez,2024-05-06,1,Crédito,249.47,Marca IKAL,Instagram,Entregado
291,146,14,CDMX,2024-05-06,1,Débito,299.41,Artesano,Facebook,Enviado
292,60,2,Toluca,2024-07-06,1,Crédito,1057.06,Artesano,Instagram,Entregado
293,146,34,Puebla,2024-07-06,1,Débito,299.41,Artesano,WhatsApp,Enviado
294,60,89,Xicotepec de Juárez,2024-08-06,1,Crédito,1057.06,Artesano,Instagram,Cancelado
295,146,120,CDMX,2024-08-06,2,Crédito,598.82,Artesano,Web,En preparación
296,146,113,Toluca,2024-09-06,1,Crédito,299.41,Artesano,Web,Entregado
297,13,41,Monterrey,2024-09-06,1,Débito,249.47,Marca IKAL,Web,Entregado
298,146,30,Querétaro,2024-09-06,1,Crédito,299.41,Artesano,WhatsApp,Entregado
299,146,33,Guadalajara,2024-09-06,1,Crédito,299.41,Artesano,Facebook,En preparación
300,146,68,Toluca,2024-10-06,1,Débito,299.41,Artesano,WhatsApp,Entregado
